country,numeric_code,time_period,Proportion of schools with no hygiene service
Andorra,20,2000,0.0
Andorra,20,2001,0.0
Andorra,20,2002,0.0
Andorra,20,2003,0.0
Andorra,20,2004,0.0
Andorra,20,2005,0.0
Andorra,20,2006,0.0
Andorra,20,2007,0.0
Andorra,20,2008,0.0
Andorra,20,2009,0.0
Andorra,20,2010,0.0
Andorra,20,2011,0.0
Andorra,20,2012,0.0
Andorra,20,2013,0.0
Andorra,20,2014,0.0
Andorra,20,2015,0.0
Andorra,20,2016,0.0
Andorra,20,2017,0.0
Andorra,20,2018,0.0
Andorra,20,2019,0.0
Andorra,20,2020,0.0
Andorra,20,2021,0.0
Andorra,20,2022,0.0
Andorra,20,2023,0.0
Angola,24,2016,12.96905
Angola,24,2017,12.96905
Angola,24,2018,12.96905
Angola,24,2019,12.96905
Angola,24,2020,12.96905
Angola,24,2021,12.96905
Angola,24,2022,12.96905
Angola,24,2023,12.96905
Anguilla,660,2000,0.0
Anguilla,660,2001,0.0
Anguilla,660,2002,0.0
Anguilla,660,2003,0.0
Anguilla,660,2004,0.0
Anguilla,660,2005,0.0
Anguilla,660,2006,0.0
Anguilla,660,2007,0.0
Anguilla,660,2008,0.0
Anguilla,660,2009,0.0
Anguilla,660,2010,0.0
Anguilla,660,2011,0.0
Anguilla,660,2012,0.0
Anguilla,660,2013,0.0
Anguilla,660,2014,0.0
Anguilla,660,2015,0.0
Anguilla,660,2016,0.0
Anguilla,660,2017,0.0
Anguilla,660,2018,0.0
Anguilla,660,2019,0.0
Anguilla,660,2020,0.0
Anguilla,660,2021,0.0
Anguilla,660,2022,0.0
Anguilla,660,2023,0.0
Antigua and Barbuda,28,2000,0.0
Antigua and Barbuda,28,2001,0.0
Antigua and Barbuda,28,2002,0.0
Antigua and Barbuda,28,2003,0.0
Antigua and Barbuda,28,2004,0.0
Antigua and Barbuda,28,2005,0.0
Antigua and Barbuda,28,2006,0.0
Antigua and Barbuda,28,2007,0.0
Antigua and Barbuda,28,2008,0.0
Antigua and Barbuda,28,2009,0.0
Antigua and Barbuda,28,2010,0.0
Antigua and Barbuda,28,2011,0.0
Antigua and Barbuda,28,2012,0.0
Antigua and Barbuda,28,2013,0.0
Antigua and Barbuda,28,2014,0.0
Antigua and Barbuda,28,2015,0.0
Antigua and Barbuda,28,2016,0.0
Antigua and Barbuda,28,2017,0.0
Antigua and Barbuda,28,2018,0.0
Antigua and Barbuda,28,2019,0.0
Antigua and Barbuda,28,2020,0.0
Antigua and Barbuda,28,2021,0.0
Antigua and Barbuda,28,2022,0.0
Antigua and Barbuda,28,2023,0.0
Australia,36,2000,0.0
Australia,36,2001,0.0
Australia,36,2002,0.0
Australia,36,2003,0.0
Australia,36,2004,0.0
Australia,36,2005,0.0
Australia,36,2006,0.0
Australia,36,2007,0.0
Australia,36,2008,0.0
Australia,36,2009,0.0
Australia,36,2010,0.0
Australia,36,2011,0.0
Australia,36,2012,0.0
Australia,36,2013,0.0
Australia,36,2014,0.0
Australia,36,2015,0.0
Australia,36,2016,0.0
Australia,36,2017,0.0
Australia,36,2018,0.0
Australia,36,2019,0.0
Australia,36,2020,0.0
Australia,36,2021,0.0
Australia,36,2022,0.0
Australia,36,2023,0.0
Austria,40,2000,0.0
Austria,40,2001,0.0
Austria,40,2002,0.0
Austria,40,2003,0.0
Austria,40,2004,0.0
Austria,40,2005,0.0
Austria,40,2006,0.0
Austria,40,2007,0.0
Austria,40,2008,0.0
Austria,40,2009,0.0
Austria,40,2010,0.0
Austria,40,2011,0.0
Austria,40,2012,0.0
Austria,40,2013,0.0
Austria,40,2014,0.0
Austria,40,2015,0.0
Austria,40,2016,0.0
Austria,40,2017,0.0
Austria,40,2018,0.0
Austria,40,2019,0.0
Austria,40,2020,0.0
Austria,40,2021,0.0
Austria,40,2022,0.0
Austria,40,2023,0.0
Azerbaijan,31,2000,0.0
Azerbaijan,31,2001,0.0
Azerbaijan,31,2002,0.0
Azerbaijan,31,2003,0.0
Azerbaijan,31,2004,0.0
Azerbaijan,31,2005,0.0
Azerbaijan,31,2006,0.0
Azerbaijan,31,2007,0.0
Azerbaijan,31,2008,0.0
Azerbaijan,31,2009,0.0
Azerbaijan,31,2010,0.0
Azerbaijan,31,2011,0.0
Azerbaijan,31,2012,0.0
Azerbaijan,31,2013,0.0
Azerbaijan,31,2014,0.0
Azerbaijan,31,2015,0.0
Azerbaijan,31,2016,0.0
Azerbaijan,31,2017,0.0
Azerbaijan,31,2018,0.0
Azerbaijan,31,2019,0.0
Azerbaijan,31,2020,0.0
Azerbaijan,31,2021,0.0
Azerbaijan,31,2022,0.0
Azerbaijan,31,2023,0.0
Bahrain,48,2000,0.0
Bahrain,48,2001,0.0
Bahrain,48,2002,0.0
Bahrain,48,2003,0.0
Bahrain,48,2004,0.0
Bahrain,48,2005,0.0
Bahrain,48,2006,0.0
Bahrain,48,2007,0.0
Bahrain,48,2008,0.0
Bahrain,48,2009,0.0
Bahrain,48,2010,0.0
Bahrain,48,2011,0.0
Bahrain,48,2012,0.0
Bahrain,48,2013,0.0
Bahrain,48,2014,0.0
Bahrain,48,2015,0.0
Bahrain,48,2016,0.0
Bahrain,48,2017,0.0
Bahrain,48,2018,0.0
Bahrain,48,2019,0.0
Bahrain,48,2020,0.0
Bahrain,48,2021,0.0
Bahrain,48,2022,0.0
Bahrain,48,2023,0.0
Bangladesh,50,2008,18.31000000000000
Bangladesh,50,2009,18.31000000000000
Bangladesh,50,2010,18.31000000000000
Bangladesh,50,2011,18.31000000000000
Bangladesh,50,2012,18.31000000000000
Bangladesh,50,2013,16.6550000000002
Bangladesh,50,2014,15.0
Bangladesh,50,2015,13.34500000000030
Bangladesh,50,2016,11.69000000000010
Bangladesh,50,2017,10.03499999999990
Bangladesh,50,2018,8.38000000000011
Bangladesh,50,2019,6.724999999999910
Bangladesh,50,2020,5.070000000000170
Bangladesh,50,2021,5.070000000000170
Bangladesh,50,2022,5.070000000000170
Bangladesh,50,2023,5.070000000000170
Barbados,52,2000,0.0
Barbados,52,2001,0.0
Barbados,52,2002,0.0
Barbados,52,2003,0.0
Barbados,52,2004,0.0
Barbados,52,2005,0.0
Barbados,52,2006,0.0
Barbados,52,2007,0.0
Barbados,52,2008,0.0
Barbados,52,2009,0.0
Barbados,52,2010,0.0
Barbados,52,2011,0.0
Barbados,52,2012,0.0
Barbados,52,2013,0.0
Barbados,52,2014,0.0
Barbados,52,2015,0.0
Barbados,52,2016,0.0
Barbados,52,2017,0.0
Barbados,52,2018,0.0
Barbados,52,2019,0.0
Barbados,52,2020,0.0
Barbados,52,2021,0.0
Barbados,52,2022,0.0
Barbados,52,2023,0.0
Belarus,112,2000,0.0
Belarus,112,2001,0.0
Belarus,112,2002,0.0
Belarus,112,2003,0.0
Belarus,112,2004,0.0
Belarus,112,2005,0.0
Belarus,112,2006,0.0
Belarus,112,2007,0.0
Belarus,112,2008,0.0
Belarus,112,2009,0.0
Belarus,112,2010,0.0
Belarus,112,2011,0.0
Belarus,112,2012,0.0
Belarus,112,2013,0.0
Belarus,112,2014,0.0
Belarus,112,2015,0.0
Belarus,112,2016,0.0
Belarus,112,2017,0.0
Belarus,112,2018,0.0
Belarus,112,2019,0.0
Belarus,112,2020,0.0
Belarus,112,2021,0.0
Belarus,112,2022,0.0
Belarus,112,2023,0.0
Belgium,56,2000,0.0
Belgium,56,2001,0.0
Belgium,56,2002,0.0
Belgium,56,2003,0.0
Belgium,56,2004,0.0
Belgium,56,2005,0.0
Belgium,56,2006,0.0
Belgium,56,2007,0.0
Belgium,56,2008,0.0
Belgium,56,2009,0.0
Belgium,56,2010,0.0
Belgium,56,2011,0.0
Belgium,56,2012,0.0
Belgium,56,2013,0.0
Belgium,56,2014,0.0
Belgium,56,2015,0.0
Belgium,56,2016,0.0
Belgium,56,2017,0.0
Belgium,56,2018,0.0
Belgium,56,2019,0.0
Belgium,56,2020,0.0
Belgium,56,2021,0.0
Belgium,56,2022,0.0
Belgium,56,2023,0.0
Belize,84,2005,9.099999999999990
Belize,84,2006,9.099999999999990
Belize,84,2007,9.099999999999990
Belize,84,2008,9.099999999999990
Belize,84,2009,9.099999999999990
Belize,84,2010,9.099999999999990
Belize,84,2011,9.099999999999990
Belize,84,2012,9.099999999999990
Belize,84,2013,9.099999999999990
Bermuda,60,2000,0.0
Bermuda,60,2001,0.0
Bermuda,60,2002,0.0
Bermuda,60,2003,0.0
Bermuda,60,2004,0.0
Bermuda,60,2005,0.0
Bermuda,60,2006,0.0
Bermuda,60,2007,0.0
Bermuda,60,2008,0.0
Bermuda,60,2009,0.0
Bermuda,60,2010,0.0
Bermuda,60,2011,0.0
Bermuda,60,2012,0.0
Bermuda,60,2013,0.0
Bermuda,60,2014,0.0
Bermuda,60,2015,0.0
Bermuda,60,2016,0.0
Bermuda,60,2017,0.0
Bermuda,60,2018,0.0
Bermuda,60,2019,0.0
Bermuda,60,2020,0.0
Bermuda,60,2021,0.0
Bermuda,60,2022,0.0
Bermuda,60,2023,0.0
Bhutan,64,2009,5.590856405697200
Bhutan,64,2010,5.590856405697200
Bhutan,64,2011,5.590856405697200
Bhutan,64,2012,5.590856405697200
Bhutan,64,2013,5.590856405697200
Bhutan,64,2014,9.006728992677380
Bhutan,64,2015,12.42260157965760
Bhutan,64,2016,15.83847416663680
Bhutan,64,2017,19.25434675361700
Bhutan,64,2018,22.6702193405963
Bhutan,64,2019,26.08609192757650
Bhutan,64,2020,29.50196451455670
Bhutan,64,2021,32.91783710153600
Bhutan,64,2022,36.33370968851610
Bhutan,64,2023,39.74958227549630
"Bolivia, Plurinational State of",68,2000,73.717637718873
"Bolivia, Plurinational State of",68,2001,72.3018568341199
"Bolivia, Plurinational State of",68,2002,70.8860759493673
"Bolivia, Plurinational State of",68,2003,69.47029506461470
"Bolivia, Plurinational State of",68,2004,68.0545141798616
"Bolivia, Plurinational State of",68,2005,66.63873329510900
"Bolivia, Plurinational State of",68,2006,65.22295241035640
"Bolivia, Plurinational State of",68,2007,63.80717152560330
"Bolivia, Plurinational State of",68,2008,62.39139064085070
"Bolivia, Plurinational State of",68,2009,60.97560975609760
"Bolivia, Plurinational State of",68,2010,59.55982887134500
"Bolivia, Plurinational State of",68,2011,58.14404798659230
"Bolivia, Plurinational State of",68,2012,58.14404798659230
"Bolivia, Plurinational State of",68,2013,58.14404798659230
"Bolivia, Plurinational State of",68,2014,58.14404798659230
"Bolivia, Plurinational State of",68,2015,58.14404798659230
Brazil,76,2009,3.945149412311340
Brazil,76,2010,3.945149412311340
Brazil,76,2011,3.945149412311340
Brazil,76,2012,3.945149412311340
Brazil,76,2013,3.945149412311340
Brazil,76,2014,3.945149412311340
Brazil,76,2015,3.945149412311340
Brazil,76,2016,3.945149412311340
Brazil,76,2017,3.945149412311340
Brazil,76,2018,3.945149412311340
Brazil,76,2019,3.945149412311340
Brazil,76,2020,3.945149412311340
Brazil,76,2021,3.945149412311340
Brazil,76,2022,3.945149412311340
Brazil,76,2023,3.945149412311340
"Virgin Islands, British",92,2000,0.0
"Virgin Islands, British",92,2001,0.0
"Virgin Islands, British",92,2002,0.0
"Virgin Islands, British",92,2003,0.0
"Virgin Islands, British",92,2004,0.0
"Virgin Islands, British",92,2005,0.0
"Virgin Islands, British",92,2006,0.0
"Virgin Islands, British",92,2007,0.0
"Virgin Islands, British",92,2008,0.0
"Virgin Islands, British",92,2009,0.0
"Virgin Islands, British",92,2010,0.0
"Virgin Islands, British",92,2011,0.0
"Virgin Islands, British",92,2012,0.0
"Virgin Islands, British",92,2013,0.0
